source_format,target_format,lev_score,fuzz_lev_score,fuzz_abb_score,vect_score,match
poref,poreference,45.0,62,100,61.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
invccy,invoicecurrency,40.0,57,67,23.0,1
payduedt,paymentdate,45.0,53,50,14.000000000000002,1
payterm,paymentterm,64.0,78,57,49.0,1
batchnumber,batchreference,43.0,56,64,26.0,1
invdate,invoicedate,64.0,78,71,49.0,1
supplier,suppliername,67.0,80,100,69.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
maturitydate,maturitydate,100.0,100,100,100.0,1
paymentterm,paymentterm,100.0,100,100,100.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
invoicenumber,invoicereference,50.0,62,69,48.0,1
adjustamt,adjustmentamount,56.00000000000001,72,78,45.0,1
invnum,invoicereference,25.0,36,50,11.0,1
batchnumber,batchreference,43.0,56,64,26.0,1
tenor,tenor,100.0,100,100,100.0,1
payterm,paymentterm,64.0,78,57,49.0,1
payduedt,paymentdate,45.0,53,50,14.000000000000002,1
poreference,poreference,100.0,100,100,100.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
paymentdate,paymentdate,100.0,100,100,100.0,1
notes,notes,100.0,100,100,100.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
poref,poreference,45.0,62,100,61.0,1
status,status,100.0,100,100,100.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
invdt,invoicedate,45.0,62,60,19.0,1
txnref,transactionreference,25.0,38,67,25.0,1
batchreference,batchreference,100.0,100,100,100.0,1
tenor,tenor,100.0,100,100,100.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
adjustmamt,adjustmentamount,62.0,77,80,41.0,1
ponumber,poreference,27.0,42,50,12.0,1
tenor,tenor,100.0,100,100,100.0,1
adjustmentreasoncode,adjustmentreasoncode,100.0,100,100,100.0,1
payterm,paymentterm,64.0,78,57,49.0,1
invccy,batchreference,14.000000000000002,20,40,0.0,0
tenor,transactionreference,20.0,24,40,6.0,0
invoicecurrency,buyername,13.0,17,24,0.0,0
notes,suppliername,8.0,24,44,0.0,0
batchnum,invoicereference,12.0,17,12,0.0,0
status,poreference,0.0,0,0,0.0,0
grossamount,invoicedate,0.0,27,32,0.0,0
adjustmentamount,invoiceamount,44.0,48,64,27.0,0
matdate,invoicecurrency,7.000000000000001,9,14,0.0,0
txnnum,maturitydate,8.0,22,33,0.0,0
invdt,paymentdate,27.0,38,60,0.0,0
payterm,tenor,14.000000000000002,50,67,12.0,0
adjustreasoncode,netamount,19.0,24,29,0.0,0
discamt,grossamount,36.0,44,57,7.000000000000001,0
ponum,discountamount,21.0,32,40,0.0,0
transactionreference,adjustmentamount,20.0,17,31,3.0,0
invnum,adjustmentreasoncode,10.0,15,17,0.0,0
tenor,paymentterm,27.0,38,67,19.0,0
poref,status,0.0,0,0,0.0,0
notes,notes,100.0,100,100,100.0,0
note,batchreference,14.000000000000002,22,57,0.0,0
paymentdate,transactionreference,15.0,26,32,4.0,0
invref,buyername,11.0,27,36,0.0,0
buyername,suppliername,57.99999999999999,67,67,37.0,0
notes,invoicereference,19.0,29,40,0.0,0
adjustamt,poreference,0.0,0,0,0.0,0
batchref,invoicedate,9.0,32,50,6.0,0
invoiceamount,invoiceamount,100.0,100,100,100.0,0
ponumber,invoicecurrency,20.0,17,38,0.0,0
matdt,maturitydate,42.0,59,60,27.0,0
paymentdate,paymentdate,100.0,100,100,100.0,0
invoicecurrency,tenor,13.0,20,40,7.000000000000001,0
netamt,netamount,67.0,80,83,47.0,0
buyer,grossamount,0.0,12,22,0.0,0
adjustreason,discountamount,21.0,23,33,0.0,0
netamt,adjustmentamount,31.0,45,67,13.0,0
paydate,adjustmentreasoncode,10.0,30,43,0.0,0
grossamt,paymentterm,9.0,21,36,0.0,0
adjustmentreasoncode,status,20.0,23,50,12.0,0
payduedt,notes,12.0,15,25,0.0,0
txnref,batchreference,28.999999999999996,40,67,21.0,0
buyer,transactionreference,10.0,16,40,6.0,0
netamount,buyername,0.0,33,46,7.000000000000001,0
batchnumber,suppliername,8.0,26,27,5.0,0
status,invoicereference,0.0,0,0,0.0,0
invoicereference,poreference,62.0,74,82,63.0,0
discamt,invoicedate,18.0,33,55,0.0,0
invoicedate,invoiceamount,54.0,75,73,38.0,0
status,invoicecurrency,7.000000000000001,10,17,0.0,0
supplier,maturitydate,8.0,30,27,0.0,0
status,paymentdate,18.0,35,55,8.0,0
invoicedate,tenor,9.0,25,57,9.0,0
supplier,netamount,0.0,12,17,0.0,0
suppliername,grossamount,0.0,26,35,5.0,0
invdate,discountamount,14.000000000000002,38,43,0.0,0
invoicenumber,adjustmentamount,19.0,21,25,4.0,0
poreference,adjustmentreasoncode,30.0,32,45,16.0,0
batchreference,paymentterm,21.0,32,36,9.0,0
buyer,status,0.0,18,25,0.0,0
maturitydate,notes,8.0,24,44,8.0,0
paymentterm,batchreference,21.0,32,36,9.0,0
tenor,transactionreference,20.0,24,40,6.0,0
discountamount,buyername,21.0,35,44,4.0,0
discountamt,suppliername,17.0,35,42,5.0,0
payterm,invoicereference,12.0,17,29,10.0,0
invoiceamount,poreference,15.0,25,27,4.0,0
transactionnumber,invoicedate,18.0,14,30,0.0,0
adjustamt,invoiceamount,23.0,27,33,5.0,0
adjustreasoncode,invoicecurrency,6.0,32,33,7.000000000000001,0
maturitydate,maturitydate,100.0,100,100,100.0,0
invamt,paymentdate,18.0,35,50,0.0,0
payterm,tenor,14.000000000000002,50,67,12.0,0
netamt,netamount,67.0,80,83,47.0,0
grossamt,grossamount,73.0,84,88,56.99999999999999,0
grossamt,discountamount,28.999999999999996,36,38,5.0,0
invccy,adjustmentamount,6.0,9,17,0.0,0
invamt,adjustmentreasoncode,10.0,15,33,0.0,0
tenor,paymentterm,27.0,38,67,19.0,0
adjustmamt,status,20.0,38,67,18.0,0
supplier,notes,12.0,15,20,0.0,0
payterm,batchreference,21.0,38,43,6.0,0
txnref,transactionreference,25.0,38,67,25.0,0
poreference,buyername,27.0,30,47,5.0,0
matdate,suppliername,17.0,21,44,0.0,0
paymentterm,invoicereference,19.0,22,32,12.0,0
adjustamt,poreference,0.0,0,0,0.0,0
buyername,invoicedate,18.0,30,35,0.0,0
invccy,invoiceamount,31.0,42,67,15.0,0
grossamount,invoicecurrency,13.0,15,22,0.0,0
netamt,maturitydate,17.0,11,25,0.0,0
adjustreason,paymentdate,17.0,35,27,0.0,0
buyer,tenor,20.0,40,40,0.0,0
status,netamount,33.0,40,50,9.0,0
batchref,grossamount,0.0,21,27,0.0,0
invoiceamount,discountamount,56.99999999999999,59,64,38.0,0
invoicedate,adjustmentamount,12.0,22,30,0.0,0
supplier,adjustmentreasoncode,10.0,21,38,0.0,0
adjustreasoncode,paymentterm,12.0,22,20,0.0,0
transactionnumber,status,18.0,26,33,0.0,0
suppliername,notes,8.0,12,44,0.0,0
note,batchreference,14.000000000000002,22,57,0.0,0
notes,transactionreference,15.0,24,40,0.0,0
adjustamt,buyername,22.0,33,33,7.000000000000001,0
notes,suppliername,8.0,24,44,0.0,0
invamt,invoicereference,19.0,27,50,11.0,0
poref,poreference,45.0,62,100,61.0,0
transactionreference,invoicedate,20.0,26,33,4.0,0
netamt,invoiceamount,31.0,53,50,7.000000000000001,0
tenor,invoicecurrency,13.0,20,40,7.000000000000001,0
status,maturitydate,17.0,33,50,23.0,0
adjustmentamount,paymentdate,25.0,52,57,19.0,0
grossamt,tenor,0.0,15,33,0.0,0
ponumber,netamount,11.0,24,33,0.0,0
tenor,grossamount,9.0,12,33,0.0,0
payduedt,discountamount,14.000000000000002,27,40,0.0,0
batchnum,adjustmentamount,19.0,33,38,0.0,0
status,adjustmentreasoncode,20.0,31,50,12.0,0
matdt,paymentterm,18.0,38,60,0.0,0
adjustmamt,status,20.0,38,67,18.0,0
invdate,notes,28.999999999999996,50,44,12.0,0
netamt,batchreference,7.000000000000001,20,44,0.0,0
invnum,transactionreference,15.0,23,33,0.0,0
discountamt,buyername,27.0,40,50,6.0,0
supplier,suppliername,67.0,80,100,69.0,0
adjustreasoncode,invoicereference,19.0,31,33,9.0,0
invoicereference,poreference,62.0,74,82,63.0,0
batchreference,invoicedate,14.000000000000002,24,40,9.0,0
invdt,invoiceamount,31.0,44,60,18.0,0
paymentdate,invoicecurrency,7.000000000000001,15,21,4.0,0
grossamt,maturitydate,17.0,30,38,0.0,0
txnnum,paymentdate,9.0,12,18,0.0,0
invoicecurrency,tenor,13.0,20,40,7.000000000000001,0
invref,netamount,0.0,27,33,0.0,0
discamt,grossamount,36.0,44,57,7.000000000000001,0
invoicedate,discountamount,14.000000000000002,32,30,0.0,0
grossamt,adjustmentamount,25.0,33,38,5.0,0
discamt,adjustmentreasoncode,15.0,22,43,0.0,0
invamt,paymentterm,9.0,24,33,0.0,0
maturitydate,status,17.0,33,50,23.0,0
status,notes,33.0,18,40,0.0,0
invoiceamount,batchreference,14.000000000000002,22,35,4.0,0
tenor,transactionreference,20.0,24,40,6.0,0
buyer,buyername,56.00000000000001,71,100,57.99999999999999,0
tenor,suppliername,17.0,24,40,0.0,0
discountamount,invoicereference,12.0,20,21,0.0,0
ponum,poreference,27.0,38,40,8.0,0
payterm,invoicedate,9.0,33,55,7.000000000000001,0
maturitydate,invoiceamount,0.0,16,24,0.0,0
payterm,invoicecurrency,13.0,9,20,0.0,0
batchnumber,maturitydate,17.0,35,36,10.0,0
paydate,paymentdate,64.0,78,57,49.0,0
invoicenumber,tenor,23.0,33,40,8.0,0
invccy,netamount,0.0,13,17,0.0,0
invoicecurrency,grossamount,13.0,8,22,0.0,0
netamount,discountamount,50.0,70,94,60.0,0
adjustmentreasoncode,adjustmentamount,60.0,72,81,40.0,0
buyer,adjustmentreasoncode,15.0,24,40,0.0,0
paymentdate,paymentterm,64.0,82,82,54.0,0
notes,status,33.0,36,40,0.0,0
supplier,notes,12.0,15,20,0.0,0
paydate,batchreference,14.000000000000002,29,43,6.0,0
batchnum,transactionreference,15.0,21,38,0.0,0
grossamount,buyername,9.0,30,33,6.0,0
invdt,suppliername,17.0,24,40,0.0,0
matdate,invoicereference,6.0,9,14,0.0,0
invoicecurrency,poreference,40.0,46,53,25.0,0
transactionnumber,invoicedate,18.0,14,30,0.0,0
buyer,invoiceamount,8.0,11,22,0.0,0
buyer,invoicecurrency,13.0,20,40,0.0,0
status,maturitydate,17.0,33,50,23.0,0
suppliername,paymentdate,25.0,35,40,5.0,0
adjustmamt,tenor,10.0,13,20,0.0,0
notes,netamount,22.0,43,50,0.0,0
adjustamt,grossamount,27.0,40,44,6.0,0
grossamt,discountamount,28.999999999999996,36,38,5.0,0
maturitydate,adjustmentamount,12.0,21,27,0.0,0
payterm,adjustmentreasoncode,15.0,30,43,0.0,0
notes,paymentterm,27.0,38,60,9.0,0
invnum,status,17.0,17,17,0.0,0
note,notes,80.0,89,100,78.0,0
status,batchreference,7.000000000000001,20,33,6.0,0
netamt,transactionreference,10.0,15,33,0.0,0
invoiceamount,buyername,15.0,27,33,5.0,0
adjustmentamount,suppliername,19.0,21,42,8.0,0
status,invoicereference,0.0,0,0,0.0,0
supplier,poreference,9.0,32,38,6.0,0
supplier,invoicedate,9.0,21,25,0.0,0
invoicedate,invoiceamount,54.0,75,73,38.0,0
netamt,invoicecurrency,13.0,19,33,0.0,0
payterm,maturitydate,17.0,42,50,6.0,0
grossamt,paymentdate,9.0,32,38,0.0,0
paymentterm,tenor,27.0,38,67,19.0,0
invoicecurrency,netamount,20.0,33,33,0.0,0
txnnum,grossamount,9.0,12,29,0.0,0
poreference,discountamount,7.000000000000001,16,18,0.0,0
grossamt,adjustmentamount,25.0,33,38,5.0,0
batchreference,adjustmentreasoncode,30.0,41,43,14.000000000000002,0
ponum,paymentterm,27.0,38,40,0.0,0
discamt,status,14.000000000000002,46,36,0.0,0
transactionreference,notes,15.0,16,40,0.0,0
payduedt,batchreference,14.000000000000002,18,25,0.0,0
poref,transactionreference,20.0,32,80,20.0,0
discamt,buyername,22.0,25,29,8.0,0
matdt,suppliername,0.0,12,29,0.0,0
batchref,invoicereference,25.0,33,50,14.000000000000002,0
adjustamt,poreference,0.0,0,0,0.0,0
invamt,invoicedate,36.0,59,50,17.0,0
tenor,invoiceamount,15.0,11,33,0.0,0
batchnumber,invoicecurrency,20.0,15,21,0.0,0
supplier,maturitydate,8.0,30,27,0.0,0
invccy,paymentdate,9.0,12,17,0.0,0
payterm,tenor,14.000000000000002,50,67,12.0,0
adjustmentreasoncode,netamount,20.0,28,33,4.0,0
txnref,grossamount,0.0,12,29,0.0,0
tenor,discountamount,14.000000000000002,21,40,0.0,0
adjustreason,adjustmentamount,62.0,71,67,23.0,0
ponumber,adjustmentreasoncode,15.0,21,40,5.0,0
invoicedate,paymentterm,9.0,27,33,5.0,0
invoicereference,status,0.0,0,0,0.0,0
notes,notes,100.0,100,100,100.0,0
tenor,batchreference,21.0,32,40,7.000000000000001,0
invdate,transactionreference,15.0,22,43,0.0,0
status,buyername,0.0,13,18,0.0,0
discountamt,suppliername,17.0,35,42,5.0,0
invamt,invoicereference,19.0,27,50,11.0,0
paymentdate,poreference,18.0,36,36,5.0,0
buyername,invoicedate,18.0,30,35,0.0,0
maturitydate,invoiceamount,0.0,16,24,0.0,0
buyer,invoicecurrency,13.0,20,40,0.0,0
invccy,maturitydate,8.0,22,33,0.0,0
discountamount,paymentdate,14.000000000000002,32,38,8.0,0
tenor,tenor,100.0,100,100,100.0,0
invoicenumber,netamount,15.0,27,33,0.0,0
